id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
3_CCE1706_MZmine3_SIRIUS_1_16	C12H14O4	[M + H]+	Terpenoids	0.7940348982810974	Monoterpenoids	0.505638599395752	Menthane monoterpenoids	0.1241971030831337	Alkyl aryl ethers	0.7523553967475891	Alkyl aryl ethers	0.7523553967475891	Ethers	0.8181270360946655	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
230_CCE1706_MZmine3_SIRIUS_1_1010	C8H10O3	[M + H]+	Polyketides	0.45677322149276733	Cyclic polyketides	0.43718764185905457	2-pyrone derivatives	0.22080816328525543	Butenolides	0.5295857787132263	Butenolides	0.5295857787132263	Furanones	0.3012135624885559	Dihydrofurans	0.40066057443618774	Organoheterocyclic compounds	0.868162214756012	Organic compounds; Organoheterocyclic compounds; Lactones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Butenolides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1811_CCE1706_MZmine3_SIRIUS_1_11851	C10H13I2NO	[M + H]+	Alkaloids	0.8667592406272888	Pseudoalkaloids	0.6080384850502014	Phenylalanine-derived alkaloids	0.8316358923912048	Amphetamines and derivatives	0.6136467456817627	Amphetamines and derivatives	0.6136467456817627	Phenethylamines	0.9470988512039185	Benzene and substituted derivatives	0.9908484220504761	Benzenoids	0.9994329810142517	Organic compounds; Halobenzenes; Phenethylamines; Amphetamines and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl iodides; Iodobenzenes; Organoiodides; Benzene and substituted derivatives; Halophenols; Benzenoids; Amines; Aryl halides; Aralkylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1361_CCE1706_MZmine3_SIRIUS_1_7728	C15H20N2O5	[M + H]+	Amino acids and Peptides	0.9841399192810059	Small peptides	0.9954236149787903	Dipeptides	0.8918038010597229	Peptides	0.9793790578842163	Peptides	0.9793790578842163	Amino acids, peptides, and analogues	0.9997110962867737	Carboxylic acids and derivatives	0.9999351501464844	Organic acids and derivatives	0.9999985694885254	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Alpha amino acids; Benzenoids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
686_CCE1706_MZmine3_SIRIUS_1_2605	C14H20N2O3	[M + H]+	Amino acids and Peptides	0.8309504985809326	Small peptides	0.8888922929763794	Dipeptides	0.9972344040870667	Amino acids and derivatives	0.5232963562011719	Amino acids and derivatives	0.5232963562011719	Amino acids, peptides, and analogues	0.528887152671814	Carboxylic acids and derivatives	0.9992111921310425	Organic acids and derivatives	0.9999539852142334	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Pyrroles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Substituted pyrroles; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
6_CCE1706_MZmine3_SIRIUS_1_19	C9H12O6	[M - H2O + H]+	Shikimates and Phenylpropanoids	0.17396821081638336	Lignans	0.17294541001319885	Minor lignans	0.6165491342544556	Methoxyphenols	0.6410943865776062			Methoxyphenols	0.6410943865776062	Phenols	0.7376306056976318	Benzenoids	0.6582168936729431	Organic compounds; Alcohols and polyols; Phenols; Methoxyphenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Alpha hydroxy acids and derivatives; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aromatic alcohols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
458_CCE1706_MZmine3_SIRIUS_1_1621	C15H23NO4	[M + H]+	Alkaloids	0.47694897651672363	Phenolic acids (C6-C1)	0.2720142900943756	Shikimic acids and derivatives	0.12922582030296326	Benzene and substituted derivatives	0.7638769745826721					Benzene and substituted derivatives	0.7638769745826721	Benzenoids	0.7656632661819458	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Dialkylamines; Benzene and substituted derivatives; Benzenoids; Secondary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
8_CCE1706_MZmine3_SIRIUS_1_22	C12H16O5	[M + H]+	Fatty acids	0.47181859612464905	Fatty Acids and Conjugates	0.49194231629371643	Dicarboxylic acids	0.25923991203308105	Monoterpenoids	0.5061942934989929			Monoterpenoids	0.5061942934989929	Prenol lipids	0.30596762895584106	Lipids and lipid-like molecules	0.6874473690986633	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Dicarboxylic acids and derivatives; Carboxylic acids; Monoterpenoids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1364_CCE1706_MZmine3_SIRIUS_1_7748	C15H27NO8	[M - H4O2 + H]+	Amino acids and Peptides	0.628599226474762	Small peptides	0.5747653841972351	Dipeptides	0.7207368612289429	Alpha amino acids	0.6509206295013428	Amino acids and derivatives	0.9816955327987671	Amino acids, peptides, and analogues	0.9817181825637817	Carboxylic acids and derivatives	0.9991959929466248	Organic acids and derivatives	0.9999301433563232	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ketones; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Medium-chain hydroxy acids and derivatives; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Hydroxy acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Dialkylamines; Polyols; Alpha amino acids; Amines; Secondary amines; Alkanolamines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
916_CCE1706_MZmine3_SIRIUS_1_4216	C12H22N2O5	[M + H]+	Amino acids and Peptides	0.9991488456726074	Small peptides	0.9999136924743652	Dipeptides	0.9985047578811646	Peptides	0.9916471242904663	Peptides	0.9916471242904663	Amino acids, peptides, and analogues	0.9999924898147583	Carboxylic acids and derivatives	0.9999995231628418	Organic acids and derivatives	1.0	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Branched fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Alpha amino acid esters; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
