name1,name2,name3,name4
,,Blank_CCE_P1706_1,CCE_P1706_1_MSMS
,,Blank_CCE_P1706_2,CCE_P1706_2_MSMS
P1706_SBB__00_1_C,P1706_073,CCE_P1706_3,CCE_P1706_3_MSMS
P1706_SBB__00_1_C2,P1706_073,CCE_P1706_4,CCE_P1706_4_MSMS
P1706_SBB__00_2_C,P1706_074,CCE_P1706_5,CCE_P1706_5_MSMS
P1706_SBB__00_2_C2,P1706_074,CCE_P1706_6,CCE_P1706_6_MSMS
,,CCE_P1706_7,CCE_P1706_7_MSMS
,,CCE_P1706_8,CCE_P1706_8_MSMS
P1706_T1_01_100_6_A,P1706_001,CCE_P1706_9,CCE_P1706_9_MSMS
P1706_T1_01_050_5_A,P1706_002,CCE_P1706_10,CCE_P1706_10_MSMS
P1706_T1_01_030_4_A,P1706_003,CCE_P1706_11,CCE_P1706_11_MSMS
P1706_T1_01_020_3_A,P1706_004,CCE_P1706_12,CCE_P1706_12_MSMS
P1706_T1_01_010_2_A,P1706_005,CCE_P1706_13,CCE_P1706_13_MSMS
P1706_T1_01_000_1_A,P1706_006,CCE_P1706_14,CCE_P1706_14_MSMS
P1706_T1_03_100_6_B,P1706_007,CCE_P1706_15,CCE_P1706_15_MSMS
P1706_T1_03_050_5_B,P1706_008,CCE_P1706_16,CCE_P1706_16_MSMS
P1706_T1_03_030_4_B,P1706_009,CCE_P1706_17,CCE_P1706_17_MSMS
P1706_T1_03_020_3_B,P1706_010,CCE_P1706_18,CCE_P1706_18_MSMS
P1706_T1_03_010_2_B,P1706_011,CCE_P1706_19,CCE_P1706_19_MSMS
P1706_T1_03_000_1_B,P1706_012,CCE_P1706_20,CCE_P1706_20_MSMS
P1706_T1_05_100_6_C,P1706_013,CCE_P1706_21,CCE_P1706_21_MSMS
P1706_T1_05_060_5_C,P1706_014,CCE_P1706_22,CCE_P1706_22_MSMS
P1706_T1_05_030_4_C,P1706_015,CCE_P1706_23,CCE_P1706_23_MSMS
P1706_T1_05_020_3_C,P1706_016,CCE_P1706_24,CCE_P1706_24_MSMS
P1706_T1_05_010_2_C,P1706_017,CCE_P1706_25,CCE_P1706_25_MSMS
P1706_T1_05_000_1_C,P1706_018,CCE_P1706_26,CCE_P1706_26_MSMS
P1706_T1_07_100_6_D,P1706_019,CCE_P1706_27,CCE_P1706_27_MSMS
P1706_T1_07_045_5_D,P1706_020,CCE_P1706_28,CCE_P1706_28_MSMS
P1706_T1_07_025_4_D,P1706_021,CCE_P1706_29,CCE_P1706_29_MSMS
P1706_T1_07_016_3_D,P1706_022,CCE_P1706_30,CCE_P1706_30_MSMS
P1706_T1_07_008_2_D,P1706_023,CCE_P1706_31,CCE_P1706_31_MSMS
P1706_T1_07_000_1_D,P1706_024,CCE_P1706_32,CCE_P1706_32_MSMS
P1706_T1_09_100_6_E,P1706_025,CCE_P1706_33,CCE_P1706_33_MSMS
P1706_T1_09_045_5_E,P1706_026,CCE_P1706_34,CCE_P1706_34_MSMS
P1706_T1_09_025_4_E,P1706_027,CCE_P1706_35,CCE_P1706_35_MSMS
P1706_T1_09_016_3_E,P1706_028,CCE_P1706_36,CCE_P1706_36_MSMS
P1706_T1_09_008_2_E,P1706_029,CCE_P1706_37,CCE_P1706_37_MSMS
P1706_T1_09_000_1_E,P1706_030,CCE_P1706_38,CCE_P1706_38_MSMS
P1706_C1_1_100_6_C,P1706_031,CCE_P1706_39,CCE_P1706_39_MSMS
P1706_C1_1_100_6_C2,P1706_031,CCE_P1706_40,CCE_P1706_40_MSMS
P1706_C1_1_075_5_C,P1706_032,CCE_P1706_41,CCE_P1706_41_MSMS
P1706_C1_1_075_5_C2,P1706_032,CCE_P1706_42,CCE_P1706_42_MSMS
P1706_C1_1_050_4_C,P1706_033,CCE_P1706_43,CCE_P1706_43_MSMS
P1706_C1_1_050_4_C2,P1706_033,CCE_P1706_44,CCE_P1706_44_MSMS
P1706_C1_1_030_3_C,P1706_034,CCE_P1706_45,CCE_P1706_45_MSMS
P1706_C1_1_030_3_C2,P1706_034,CCE_P1706_46,CCE_P1706_46_MSMS
P1706_C1_1_008_2_C,P1706_035,CCE_P1706_47,CCE_P1706_47_MSMS
P1706_C1_1_008_2_C2,P1706_035,CCE_P1706_48,CCE_P1706_48_MSMS
P1706_C1_1_000_1_C,P1706_036,CCE_P1706_49,CCE_P1706_49_MSMS
P1706_C1_1_000_1_C2,P1706_036,CCE_P1706_50,CCE_P1706_50_MSMS
P1706_C1_2_100_6_C,P1706_037,CCE_P1706_51,CCE_P1706_51_MSMS
P1706_C1_2_100_6_C2,P1706_037,CCE_P1706_52,CCE_P1706_52_MSMS
P1706_C1_2_070_5_C,P1706_038,CCE_P1706_53,CCE_P1706_53_MSMS
P1706_C1_2_070_5_C2,P1706_038,CCE_P1706_54,CCE_P1706_54_MSMS
P1706_C1_2_045_4_C,P1706_039,CCE_P1706_55,CCE_P1706_55_MSMS
P1706_C1_2_045_4_C2,P1706_039,CCE_P1706_56,CCE_P1706_56_MSMS
P1706_C1_2_025_3_C,P1706_040,CCE_P1706_57,CCE_P1706_57_MSMS
