ID1,ID2,EdgeType,Score,Annotation
89,129,MS1 annotation,2.000,[M+NH4]+ [2M-H2O+K]+ dm/z=135.9226
748,843,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9998
771,802,MS1 annotation,2.000,[M+H]+ [M-H2O+NH4]+ dm/z=0.9840
841,872,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=23.9999
842,877,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=23.9998
1251,1253,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0264
1830,1858,MS1 annotation,3.000,[2M+Na]+ [M-H2O+H]+ dm/z=266.1604
1840,1858,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
1840,1855,MS1 annotation,2.000,[M+Na]+ [2M+H]+ dm/z=204.1850
1858,1869,MS1 annotation,3.000,[M+H]+ [2M+Na]+ dm/z=248.1498
1918,1919,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9817
1919,1921,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
2249,2251,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
3069,3070,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
3069,3071,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0264
3070,3071,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9819
3114,3145,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
3114,3137,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9819
3137,3145,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
4243,4569,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
4444,4447,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
4444,4453,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0273
5154,6136,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9820
5906,5912,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
5912,5916,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
6264,6385,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
6264,6403,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0264
6264,6304,MS1 annotation,4.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0376
6304,6385,MS1 annotation,4.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9933
6385,6403,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9821
7225,7226,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9821
7225,7228,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
7226,7228,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
7670,7725,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9821
7741,7769,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
7741,8561,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0263
7769,8561,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9823
8286,8320,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
8332,8341,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
8468,8470,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
8468,8478,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
8470,8478,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
8997,9335,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9818
9555,9564,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
10035,11044,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
10035,10042,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9819
10035,11079,MS1 annotation,3.000,[M+H]+ [2M+Na]+ dm/z=248.1500
10042,11044,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
10222,10280,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
10264,10280,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9549
10329,10351,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
10452,10481,MS1 annotation,2.000,[2M+H]+ [M+Na]+ dm/z=303.1685
10587,10596,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
10683,10806,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0267
10683,10843,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9550
11044,11079,MS1 annotation,3.000,[M+H]+ [2M+NH4]+ dm/z=243.1945
11213,11684,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9817
12317,12333,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9815
12317,12330,MS1 annotation,2.000,[M+H]+ [2M+Na]+ dm/z=515.6785
13506,13517,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
13506,13512,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
13507,13565,MS1 annotation,2.000,[2M+Na]+ [M+H]+ dm/z=304.6928
13512,13517,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0264
13546,13565,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
13991,14009,MS1 annotation,2.000,[M+H]+ [2M+Na]+ dm/z=587.2076
15587,15594,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
16295,16296,MS1 annotation,2.000,[M+H]+ [2M+Na]+ dm/z=594.2155
16927,16937,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
17890,17891,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
18076,18078,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
18732,18733,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
21313,21318,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9817
21421,21428,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0268
21421,21438,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
22060,22066,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0267
22060,22061,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
22061,22066,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9821
22588,22594,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
22718,22729,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
23070,23096,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0269
23070,23084,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
23084,23096,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
23179,23180,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
