rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C37H70NO8P	[M + Na]+	C37H70NO8P	11023.341816646076	11020.268014313253	3.073802332823225	28	0.9799012010848509	0.5606802262814794	0.8967444562578444	0.3571319958656164	PE(16:1_16:1)	710.47338	784.5330047607422	10512_CCE1706_MZmine3_SIRIUS_fixed_41908
2	C43H74NO8P	[M + Na]+	C43H74NO8P	10032.180148772397	10032.180148772397	0.0	34	0.9455949025854675	0.7469075185716803	1.0807981267087552	0.6490260190505185	PE(22:6_16:0)	786.50494	784.3227481842041	10496_CCE1706_MZmine3_SIRIUS_fixed_41878
3	C18H27NO3	[M + O + H]+	C18H27NO4	9098.026687561583	9097.380502782247	0.6461847793353761	51	0.9362962615369724	-0.23710631853552844	1.1838410327149738	-0.9260955626291085	Cer(d10:3_8:2)	322.20099	418.5567164387228	4893_CCE1706_MZmine3_SIRIUS_fixed_24890
4	C21H44NO7P	[M + Na]+	C21H44NO7P	9029.667980218514	9029.667980218514	0.0	19	0.8662482736919392	0.09020999215923152	0.6445938476248926	-0.07328834022239104	LPE(16:0)	476.27473	609.9822521209717	8361_CCE1706_MZmine3_SIRIUS_fixed_36358
5	C28H39NO3	[M + O + H]+	C28H39NO4	9028.919221583023	9025.69634827521	3.222873307811797	35	0.8041138776109182	0.9996554801597591	1.4546491263942862	0.16601374023107468	Cer(d18:6_10:3)	454.29526	499.0506508262479	6137_CCE1706_MZmine3_SIRIUS_fixed_30204
6	C44H78NO8P	[M + Na]+	C44H78NO8P	9003.275536766427	8996.8519245731	6.4236121933267984	26	0.7914723517654899	0.46575168776480524	0.8149138795893489	-0.3331448873247882	PC(20:5_16:0)	802.53546	784.0142583847046	10487_CCE1706_MZmine3_SIRIUS_fixed_41860
7	C17H25NO3	[M + O + H]+	C17H25NO4	8190.559437511105	8190.559437511105	0.0	45	0.6459877599546063	0.8836526499750441	1.3247223537173822	-1.5083076649400162	Cer(d8:3_9:2)	308.18517	196.81023178431633	1397_CCE1706_MZmine3_SIRIUS_fixed_4549
7	C17H25NO3	[M + O + H]+	C17H25NO4	8183.728808617707	8183.728808617707	0.0	43	0.5928753664406868	1.4778613153464717	1.6176567877041663	-2.4059124970397314	Cer(d8:3_9:2)	308.18489	188.16806358769412	1289_CCE1706_MZmine3_SIRIUS_fixed_4041
8	C25H44NO7P	[M + Na]+	C25H44NO7P	8080.789224856462	8080.789224856462	0.0	45	0.9637935792475395	0.9552328926975808	1.071267396956888	-0.5029716897989907	LPE(20:4)	524.27450	594.5249319076538	8086_CCE1706_MZmine3_SIRIUS_fixed_35477
9	C23H46NO7P	[M + H]+	C23H46NO7P	8063.830183281691	8058.003642744931	5.826540536759515	44	0.9880725271101869	0.6955341259631661	0.9042913117970351	-0.36156014705204736	LPE(18:1)	480.30829	616.9317919556478	8522_CCE1706_MZmine3_SIRIUS_fixed_36869
10	C25H42NO7P	[M + Na]+	C25H42NO7P	8041.647176977727	8035.23226615332	6.414910824406992	33	0.9330702762099791	0.47617542556286996	0.9253396434017375	-0.9979000099219758	LPE(20:5)	522.25859	579.25277531147	7690_CCE1706_MZmine3_SIRIUS_fixed_34269
11	C26H50NO7P	[M + Na]+	C26H50NO7P	8040.255671861523	8040.255671861523	0.0	31	0.9528217574182334	0.5410123341872233	0.7786064832646845	1.0246491573096346	PC(9:1_O-9:1)	542.32227	599.6672671719158	8155_CCE1706_MZmine3_SIRIUS_fixed_35640
12	C24H48NO7P	[M + Na]+	C24H48NO7P	8039.972245928262	8039.972245928262	0.0	33	0.9761333790110772	0.7701261754433099	0.9028801099907242	0.07510089150735633	PC(3:0_O-13:1)	516.30610	586.1055170669601	7915_CCE1706_MZmine3_SIRIUS_fixed_34985
13	C46H74NO8P	[M + Na]+	C46H74NO8P	8033.347420820147	8033.347420820147	0.0	28	0.9758988015978698	-0.21452391518241876	0.9170794814624801	0.11110677119110293	PC(18:4_20:5)	822.50452	649.5255088806152	9279_CCE1706_MZmine3_SIRIUS_fixed_39134
14	C26H48NO7P	[M + Na]+	C26H48NO7P	8029.492941958736	8023.759139668633	5.733802290103294	34	0.972104881019073	0.23382285164787603	0.4442659473164646	0.8732254125049884	LPC(18:3)	540.30653	584.7615167641552	7744_CCE1706_MZmine3_SIRIUS_fixed_34415
15	C23H48NO7P	[M + H]+	C23H48NO7P	8029.181955880932	8022.49557156084	6.6863843200920705	27	0.9717477891041654	0.8972039432470246	1.1817989362848833	-0.18320364334006206	LPE(18:0)	482.32403	641.082362383604	9089_CCE1706_MZmine3_SIRIUS_fixed_38602
16	C22H46NO7P	[M + Na]+	C22H46NO7P	8027.281803677375	8023.76286130318	3.5189423741945784	22	0.979735344882695	-0.07536087707048653	0.8715655731149813	-0.5124643097124971	PC(3:0_O-11:0)	490.29016	577.1881341934204	7608_CCE1706_MZmine3_SIRIUS_fixed_34075
17	C21H44NO7P	[M + H]+	C21H44NO7P	8019.875063522863	8019.875063522863	0.0	22	0.9942888479617891	0.15000628299027946	0.8685833669982108	-0.07539028714491415	LPE(16:0)	454.29278	609.8087996092637	8262_CCE1706_MZmine3_SIRIUS_fixed_35994
18	C48H76NO8P	[M + Na]+	C48H76NO8P	8003.834035657368	8003.834035657368	0.0	29	0.9873005943071633	0.48655375027477515	1.0432182174516045	-0.015372577721861425	PC(20:5_20:5)	848.52006	637.0997478042773	9060_CCE1706_MZmine3_SIRIUS_fixed_38526
19	C42H74NO8P	[M + Na]+	C42H74NO8P	7994.818470115804	7994.818470115804	0.0	19	0.9382542801010385	0.16144565673820105	0.8429878627060786	0.5997946903208068	PC(20:5_14:0)	774.50489	651.0519790649414	9299_CCE1706_MZmine3_SIRIUS_fixed_39194
20	C17H25NO3	[M + O + H]+	C17H25NO4	7181.294303592782	7181.294303592782	0.0	43	0.531930916402026	1.4510595970252456	1.4816961097531838	-2.4590776415284354	Cer(d8:3_9:2)	308.18488	175.12768343105802	1061_CCE1706_MZmine3_SIRIUS_fixed_3030
21	C24H42O5	[M + H3N + H]+	C24H45NO5	7121.298700745265	7121.298700745265	0.0	50	0.9455960030183157	0.39298264805384253	0.568921701259635	-0.36979692562504396	DG(13:2_8:0)	428.33689	651.0069767385721	9326_CCE1706_MZmine3_SIRIUS_fixed_39252
22	C28H48NO7P	[M + Na]+	C28H48NO7P	7063.762723586529	7063.762723586529	0.0	46	0.9707906653360547	0.36121995038296983	0.8882189349957973	-0.39247781340721977	PC(O-9:3_11:2)	564.30584	581.945563887782	7755_CCE1706_MZmine3_SIRIUS_fixed_34446
23	C27H44NO7P	[M + Na]+	C27H44NO7P	7047.5448357326895	7042.692064044433	4.8527716882567455	28	0.7994776882025659	1.2263621196153554	1.482037740625937	-0.8400440791560466	LPE(22:6)	548.27430	594.0551948547363	8017_CCE1706_MZmine3_SIRIUS_fixed_35275
24	C26H46NO7P	[M + Na]+	C26H46NO7P	7045.2294929388945	7045.2294929388945	0.0	39	0.9932829285146113	0.22168013361931385	0.6149182560085551	-1.2513401959886583	PC(14:3_O-4:1)	538.28974	563.4100953990128	7464_CCE1706_MZmine3_SIRIUS_fixed_33638
25	C26H52NO7P	[M + Na]+	C26H52NO7P	7036.606820618836	7036.606820618836	0.0	36	0.9772418531826941	0.3303232258566673	0.9994232384524633	1.5865136648729707	PC(3:0_O-15:1)	544.33822	615.7671735825006	8579_CCE1706_MZmine3_SIRIUS_fixed_37144
26	C23H48NO7P	[M + H]+	C23H48NO7P	7035.907998980906	7035.907998980906	0.0	39	0.9822661827693944	0.6262237767098298	0.843796122198075	-0.6227399285177743	LPC(15:0)	482.32382	596.0926242601677	8058_CCE1706_MZmine3_SIRIUS_fixed_35402
27	C43H74NO8P	[M + Na]+	C43H74NO8P	7034.190882233463	7034.190882233463	0.0	38	0.8628267021807889	0.8272207239860225	1.3326537801316518	1.5601332923938518	PE(22:6_16:0)	786.50565	653.9292740821838	9331_CCE1706_MZmine3_SIRIUS_fixed_39264
28	C48H76NO8P	[M + Na]+	C48H76NO8P	7026.895012289556	7019.81849095033	7.076521339225693	24	0.9618208516886932	0.4022621362789176	1.1145781832870454	0.12449784709103234	PC(20:5_20:5)	848.52018	784.5522451400757	10507_CCE1706_MZmine3_SIRIUS_fixed_41901
29	C28H52NO7P	[M + Na]+	C28H52NO7P	7012.579547053482	7009.1145674940435	3.4649795594384947	25	0.9727926078028747	1.8077481796033856	1.9637720039703472	2.8013483763302283	PC 20:3	568.33895	610.8255100250244	8380_CCE1706_MZmine3_SIRIUS_fixed_36415
30	C25H46O5	[M + H3N + H]+	C25H49NO5	6172.359249158107	6172.359249158107	0.0	60	0.9999999999999999	0.7553397159914733	1.005262569332681	0.24600107219349424	DG(16:0_6:1)	444.36846	663.6781350465026	9517_CCE1706_MZmine3_SIRIUS_fixed_39647
31	C36H65NO3	[M + H]+	C36H65NO3	6131.286573038519	6131.286573038519	0.0	49	0.956835831677804	0.9462792889876639	1.4190643993628687	0.7331233207974436	Cer(d17:1_19:3)	560.50413	745.275993347168	10250_CCE1706_MZmine3_SIRIUS_fixed_41259
32	C27H41NO3	[M + O + H]+	C27H41NO4	6095.916980639965	6095.916980639965	0.0	39	0.7412715410847062	1.5379859152401516	1.6176567877041663	1.0053510101291152	Cer(d19:5_8:2)	444.31128	302.16976969172475	3097_CCE1706_MZmine3_SIRIUS_fixed_14394
33	C27H49NO3	[M + O + H]+	C27H49NO4	6088.156348791814	6084.329406095184	3.826942696629582	37	0.9371661954131323	1.3096259168927133	1.3947929868427713	-0.6105880529675971	Cer(d11:3_16:0)	452.37316	661.3350105285645	9486_CCE1706_MZmine3_SIRIUS_fixed_39578
34	C21H42NO7P	[M + H]+	C21H42NO7P	6055.106990923925	6048.819434633056	6.2875562908697	30	0.9949965493443754	0.22543505769868177	0.7473620148525469	-0.8926625374083038	LPE(16:1)	452.27676	586.3535020494289	7765_CCE1706_MZmine3_SIRIUS_fixed_34473
35	C32H61NO3	[M + H]+	C32H61NO3	6054.182833870279	6054.182833870279	0.0	34	0.9839862192165368	0.6838259249397901	0.9040856136321854	-0.8058489950805023	Cer(d18:2_14:0)	508.47201	681.3654899597168	9737_CCE1706_MZmine3_SIRIUS_fixed_40135
36	C34H61NO3	[M + H]+	C34H61NO3	6046.943915416898	6046.943915416898	0.0	31	0.9133883248730963	1.1615599444922031	1.7354395324029597	0.12271432823044481	Cer(d18:2_16:2)	532.47249	681.5730285644531	9730_CCE1706_MZmine3_SIRIUS_fixed_40117
37	C27H39NO3	[M + H]+	C27H39NO3	6044.634405839451	6044.634405839451	0.0	46	0.8979115537110223	-0.18842966003006814	0.5946849476836839	-0.13304469153631146	Cer(d18:7_9:1)	426.30021	412.12671203977993	4772_CCE1706_MZmine3_SIRIUS_fixed_24425
38	C20H42NO7P	[M + H]+	C20H42NO7P	6044.388446208842	6040.713970231641	3.6744759772004856	11	0.9934123847167323	1.051915858489898	1.051915858489898	0.14508429405092393	LPC(12:0)	440.27723	526.4690208435059	6661_CCE1706_MZmine3_SIRIUS_fixed_31602
39	C27H39NO3	[M + H]+	C27H39NO3	6040.99067937883	6040.99067937883	0.0	42	0.8897476511851118	-0.1939828350402703	0.6523301526119862	0.7051596892573266	Cer(d18:7_9:1)	426.30057	449.9063567688048	5364_CCE1706_MZmine3_SIRIUS_fixed_27270
40	C26H54NO7P	[M + H]+	C26H54NO7P	6034.731944215586	6034.731944215586	0.0	9	0.993003214364886	0.0913666657196347	0.3857186174484459	-0.2568965489529641	LPC(18:0)	524.37093	648.3162087178789	9076_CCE1706_MZmine3_SIRIUS_fixed_38562
41	C24H48NO7P	[M + H]+	C24H48NO7P	6030.903539980193	6030.903539980193	0.0	14	0.9925725729780149	0.20553131295197727	0.6791792123144231	0.14297012121006775	LPC(16:1)	494.32419	588.652117483993	7802_CCE1706_MZmine3_SIRIUS_fixed_34584
42	C19H40NO7P	[M + H]+	C19H40NO7P	6029.088188962081	6023.1178877244065	5.970301237674494	19	0.9776408880214689	0.6819350422273015	1.2433791772786316	-0.41898326087058774	LPE(14:0)	426.26134	577.3681009707798	7496_CCE1706_MZmine3_SIRIUS_fixed_33731
43	C24H50NO7P	[M + H]+	C24H50NO7P	6027.364359410812	6027.364359410812	0.0	9	0.994232500480405	0.2062635707643385	0.4291218039565672	-0.421409448946047	LPC(16:0)	496.33956	612.1876380613555	8428_CCE1706_MZmine3_SIRIUS_fixed_36535
44	C22H46NO7P	[M + H]+	C22H46NO7P	6021.809547071047	6021.809547071047	0.0	9	0.9939610483583788	0.0913666657196347	0.3891445140184318	0.20311405468943844	LPC(14:0)	468.30856	580.0539737416071	7685_CCE1706_MZmine3_SIRIUS_fixed_34263
