rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C18H33NO3	[M + O + H]+	C18H33NO4	6034.8994747925	6034.8994747925	0.0	17	0.9990748754066072	0.47617542556286996	0.6088501793431694	-0.9038056559721122	Cer(d8:1_10:1)	328.24794	530.6274797384898	4212_CCE1706_MZmine3_SIRIUS_1_31792
2	C24H50NO7P	[M + H]+	C24H50NO7P	6033.942453690547	6033.942453690547	0.0	9	0.9987026542199776	0.2062635707643385	0.4291218039565672	-0.421409448946047	LPC(16:0)	496.33956	612.7497401553544	5281_CCE1706_MZmine3_SIRIUS_1_36535
3	C24H48NO7P	[M + H]+	C24H48NO7P	6031.1564668654055	6031.1564668654055	0.0	12	0.9985987299126442	0.20553131295197727	0.5076841453641308	0.14297012121006775	LPC(16:1)	494.32419	586.919746213284	4860_CCE1706_MZmine3_SIRIUS_1_34584
4	C28H50NO7P	[M + Na]+	C28H50NO7P	6000.57594454376	6000.57594454376	0.0	8	0.996415770609319	0.5202155696647398	0.5202155696647398	-0.12529981073087842	PC 20:4	566.32164	592.4316256803786	5000_CCE1706_MZmine3_SIRIUS_1_35272
5	C22H46NO7P	[M + H]+	C22H46NO7P	5012.534373737888	5012.534373737888	0.0	7	1.0	0.2863622608405071	0.8617761404560091	0.20311405468943844	LPC(14:0)	468.30856	578.9125929235955	4783_CCE1706_MZmine3_SIRIUS_1_34263
6	C28H48NO7P	[M + Na]+	C28H48NO7P	5012.05847646328	5012.05847646328	0.0	10	1.0000000000000002	0.2408935933401965	0.37686311171645887	-0.39247781340721977	PC 20:5	564.30584	584.1577472381402	4824_CCE1706_MZmine3_SIRIUS_1_34446
7	C26H46NO7P	[M + Na]+	C26H46NO7P	5011.928412627651	5011.928412627651	0.0	9	0.9915185783521807	0.23152464775676737	0.6599089970608403	-1.2513401959886583	PC 18:4	538.28974	563.8625047949608	4632_CCE1706_MZmine3_SIRIUS_1_33638
8	C26H48NO7P	[M + H]+	C26H48NO7P	5010.251154158343	5010.251154158343	0.0	7	0.996680391969102	-0.1141398048217796	0.41664698561503516	-0.34392304512590527	LPC(18:3)	518.32394	583.4830154757065	4806_CCE1706_MZmine3_SIRIUS_1_34365
9	C24H48NO7P	[M + Na]+	C24H48NO7P	5008.132378856509	5008.132378856509	0.0	7	1.0000000000000002	0.5228887985633638	0.8617761404560091	0.07510089150735633	PC 16:1	516.30610	588.150142884042	4939_CCE1706_MZmine3_SIRIUS_1_34985
10	C26H50NO7P	[M + Na]+	C26H50NO7P	5002.385689645493	5002.385689645493	0.0	7	0.9936208991494533	0.3911402696067249	0.4291218039565672	1.0246491573096346	PC 18:2	542.32227	598.9136144218849	5091_CCE1706_MZmine3_SIRIUS_1_35640
11	C26H48NO7P	[M + Na]+	C26H48NO7P	5000.058919948298	4994.325117658195	5.733802290103294	7	1.0	0.4291218039565672	0.4291218039565672	0.8732254125049884	PC 18:3	540.30653	583.687969883342	4816_CCE1706_MZmine3_SIRIUS_1_34415
12	C21H41NO3	[M + H]+	C21H41NO3	4060.752136718869	4054.4942434206114	6.257893298257806	15	1.0000000000000002	0.5606159775470042	0.5606159775470042	0.7477677997080684	Cer(d13:1_8:0)	356.31619	660.2549743652344	6048_CCE1706_MZmine3_SIRIUS_1_39523
